method,seed,step,room,room_name,action,external_reward,prediction_error,learning_progress,empowerment,utility,tau,boredom,mode_shift,epsilon,action_entropy,shaped_reward
aed,0,92,2,mastered,2,0.0,0.0,0.011057079044290263,0.6978914030754784,1.057894183657508,0.3815134164731956,8.412194233722794,0.0,0.05,0.15405767236812593,1.057894183657508
aed,0,93,2,mastered,2,0.0,0.0,0.01050422509207577,0.704060045343597,1.0665942931074712,0.38518882085636696,8.328072291385565,0.0,0.05,0.15405767236812593,1.0665942931074712
aed,0,94,2,mastered,2,0.0,0.0,0.009979013837471962,0.7096161871535224,1.0744032945677555,0.3888848932249239,8.24479156847171,0.0,0.05,0.15405767236812593,1.0744032945677555
aed,0,95,2,mastered,2,0.0,0.0,0.009480063145598377,0.7146563668418764,1.081464613408413,0.39259779182584137,8.162343652786992,0.0,0.05,0.15405767236812593,1.081464613408413
aed,0,96,2,mastered,2,0.0,0.0,0.009006059988318438,0.7192570516535047,1.0878916374685754,0.39632426105405505,8.080720216259122,0.0,0.05,0.15405767236812593,1.0878916374685754
aed,0,97,2,mastered,2,0.0,0.0,0.008555756988902541,0.7234796996347735,1.093775306441063,0.4000615162809901,7.99991301409653,0.0,0.05,0.15405767236812593,1.093775306441063
aed,0,98,2,mastered,2,0.0,0.0,0.008127969139457403,0.7273743452521646,1.0991894870177041,0.4038071561346737,7.919913883955565,0.0,0.05,0.15405767236812593,1.0991894870177041
aed,0,99,2,mastered,2,0.0,0.0,0.007721570682484524,0.7309821915685694,1.1041948580353385,0.407559094644177,7.840714745116009,0.0,0.05,0.15405767236812593,1.1041948580353385
aed,0,100,2,mastered,2,0.0,0.0,0.007335492148360295,0.7343375184417321,1.1088417698109585,0.41131550802001093,7.762307597664849,0.0,0.05,0.15405767236812593,1.1088417698109585
aed,0,101,2,mastered,2,0.0,0.0,0.006968717540942276,0.7374691101324025,1.1131723827395459,0.4150747923936086,7.6846845216882,0.0,0.05,0.15405767236812593,1.1131723827395459
aed,0,102,2,mastered,2,0.0,0.0,0.006620281663895167,0.7404013390195855,1.1172222901932733,0.41883552988260697,7.607837676471318,0.0,0.05,0.15405767236812593,1.1172222901932733
aed,0,103,2,mastered,2,0.0,0.0,0.0062892675807004195,0.7431549991628096,1.121021766324915,0.4225964610648185,7.5317592997066045,0.0,0.05,0.15405767236812593,1.121021766324915
aed,0,104,2,mastered,2,0.0,0.0,0.005974804201665393,0.7457479551705196,1.1245967369574448,0.42635646244428166,7.456441706709539,0.0,0.05,0.15405767236812593,1.1245967369574448
aed,0,105,2,mastered,2,0.0,0.0,0.005676063991582131,0.7481956528441747,1.127969543257844,0.43011452784834947,7.381877289642444,0.0,0.05,0.15405767236812593,1.127969543257844
aed,0,106,2,mastered,2,0.0,0.0,0.005392260792003015,0.7505115250860745,1.1311595484211148,0.43386975295121327,7.308058516746019,0.0,0.05,0.15405767236812593,1.1311595484211148
aed,0,107,2,mastered,2,0.0,0.0,0.00512264775240287,0.7527073175379542,1.1341836240593342,0.4376213223067539,7.234977931578559,0.0,0.05,0.15405767236812593,1.1341836240593342
aed,0,108,2,mastered,2,0.0,0.0,0.00486651536478272,0.7547933520538839,1.1370565434456084,0.4413684984124482,7.162628152262774,0.0,0.05,0.15405767236812593,1.1370565434456084
aed,0,109,2,mastered,2,0.0,0.0,0.004623189596543592,0.7567787415595638,1.1397913019358894,0.4451106124300654,7.091001870740146,0.0,0.05,0.15405767236812593,1.1397913019358894
aed,0,110,2,mastered,2,0.0,0.0,0.0043920301167164055,0.7586715665529974,1.1423993799462124,0.44884705626764615,7.020091852032745,0.0,0.05,0.15405767236812593,1.1423993799462124
aed,0,111,2,mastered,2,0.0,0.0,0.004172428610880588,0.7604790210846331,1.1448909602378303,0.45257727578749707,6.9498909335124175,0.0,0.05,0.15405767236812593,1.1448909602378303
aed,0,112,2,mastered,2,0.0,0.0,0.003963807180336551,0.7622075342638492,1.1472751085761104,0.4563007649514401,6.880392024177294,0.0,0.05,0.15405767236812593,1.1472751085761104
aed,0,113,2,mastered,2,0.0,0.0,0.003765616821319734,0.7638628719974976,1.149559924817566,0.46001706075077076,6.81158810393552,0.0,0.05,0.15405767236812593,1.149559924817566
aed,0,114,2,mastered,2,0.0,0.0,0.0035773359802537402,0.7654502226524226,1.1517526699588876,0.46372573879681134,6.743472222896165,0.0,0.05,0.15405767236812593,1.1517526699588876
aed,0,115,2,mastered,2,0.0,0.0,0.003398469181241051,0.7669742695606006,1.1538598735221417,0.467426409470438,6.676037500667204,0.0,0.05,0.15405767236812593,1.1538598735221417
aed,0,116,2,mastered,2,0.0,0.0,0.0032285457221790034,0.7684392526908382,1.1558874247584363,0.47111871454687804,6.609277125660531,0.0,0.05,0.15405767236812593,1.1558874247584363
aed,0,117,2,mastered,2,0.0,0.0,0.0030671184360700487,0.7698490213498935,1.1578406504609102,0.4748023242264482,6.543184354403926,0.0,0.05,0.15405767236812593,1.1578406504609102
